ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / OfcomNote: Includes SMS and MMS messages. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile connections: 2008 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,77,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,58,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,107,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,92,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,270,336,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,112,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,44,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,46,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,152,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,187,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,347,883,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,619,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,62,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile connections, by type: 2008 and 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pre-Pay,Post-pay,Total,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2008,47,30,77,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,37,47,84,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2008,19,39,58,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,16,61,77,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2008,61,47,107,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,59,56,115,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2008,77,15,92,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,72,25,97,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2008,62,208,270,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,95,241,336,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2008,3,110,112,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,1,145,146,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2008,10,13,23,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,9,21,31,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2008,20,29,50,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,16,34,50,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2008,11,10,21,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,7,15,22,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2008,4,6,11,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,4,10,14,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2008,24,19,44,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,31,26,57,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2008,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2008,1,45,46,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,1,54,56,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2008,124,29,152,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,212,62,275,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2008,166,21,187,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,198,43,241,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2008,320,27,347,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,840,43,883,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2008,449,169,619,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,890,344,1234,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,2008,62,0,62,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,126,1,127,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated mobile broadband as a proportion of total mobile connections: 2008 and 2013 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,3.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,1.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,1.7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2.9,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,7.4,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2.4,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,8.1,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,1.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,1.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,4.2,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,1.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-capita monthly telecoms service revenue: 2008 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
AUS,59,61,63,63,61,58,,,,,,,,,,,,,,,,,,,,,,,
JPN,51,51,51,52,53,56,,,,,,,,,,,,,,,,,,,,,,,
USA,43,43,45,45,48,47,,,,,,,,,,,,,,,,,,,,,,,
SWE,36,36,38,39,40,39,,,,,,,,,,,,,,,,,,,,,,,
UK,39,38,37,37,38,37,,,,,,,,,,,,,,,,,,,,,,,
NED,35,36,36,37,37,37,,,,,,,,,,,,,,,,,,,,,,,
ESP,43,41,39,37,32,28,,,,,,,,,,,,,,,,,,,,,,,
GER,30,28,28,28,28,27,,,,,,,,,,,,,,,,,,,,,,,
FRA,36,35,34,32,30,26,,,,,,,,,,,,,,,,,,,,,,,
ITA,36,36,34,32,29,26,,,,,,,,,,,,,,,,,,,,,,,
SGP,47,47,49,50,51,51,,,,,,,,,,,,,,,,,,,,,,,
KOR,33,32,32,32,32,33,,,,,,,,,,,,,,,,,,,,,,,
POL,15,15,15,14,14,14,,,,,,,,,,,,,,,,,,,,,,,
BRA,11,11,11,12,13,13,,,,,,,,,,,,,,,,,,,,,,,
RUS,10,10,11,11,12,13,,,,,,,,,,,,,,,,,,,,,,,
CHN,4,4,5,5,6,7,,,,,,,,,,,,,,,,,,,,,,,
NGA,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
IND,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IHS / industry data / OfcomNote: Includes spend by businesses, and is therefore not representative of average consumer spend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular use of fixed and mobile telephony services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Fixed-only,9,8,10,3,15,6,8,5,2,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,50,58,71,58,31,35,44,70,25,,,,,,,,,,,,,,,,,,,,
Mobile-only,31,24,14,32,39,46,40,20,57,,,,,,,,,,,,,,,,,,,,
Neither,9,10,5,6,14,13,9,5,16,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q6. Which of the following do you regularly do (at least once a week)? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household take-up of fixed and mobile broadband data connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Fixed broadband only,80,83,74,46,75,77,60,59,67,,,,,,,,,,,,,,,,,,,,
Fixed and mobile broadband,13,11,14,29,9,13,20,28,24,,,,,,,,,,,,,,,,,,,,
Mobile broadband only,7,6,13,26,16,10,20,13,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014 Base: All respondents with broadband, UK=929, FRA=945, GER=844, ITA=877, USA=747, JPN=737, AUS=910, ESP=903, CHN=923. Q3b. Which of the following services do you have in your home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion of respondents using VoIP services at least one a week
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of fixed and mobile data users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , At least once a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014
Base: All respondents with mobile broadband internet access or those who access the internet access via a mobile handset, UK=339, FRA=361, GER=383, ITA=662, USA=284, JPN=250, AUS=464, ESP=620, CHN=568 
Q.27 How often, if at all, do you use your main mobile phone to do each of the following?
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly per-capita fixed voice revenue: 2008 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
AUS,16.57,16.03,15.01,13.88,12.64,11.78,,,,,,,,,,,,,,,,,,,,,,,
UK,14.18,13.41,12.99,12.32,11.93,11.77,,,,,,,,,,,,,,,,,,,,,,,
JPN,11.72,11.02,10.34,9.67,8.99,8.56,,,,,,,,,,,,,,,,,,,,,,,
USA,11.83,10.81,10.6,9.67,8.67,7.61,,,,,,,,,,,,,,,,,,,,,,,
NED,9.53,9.26,9.41,8.86,8.21,7.61,,,,,,,,,,,,,,,,,,,,,,,
GER,11.37,9.76,9.37,8.97,8.31,7.48,,,,,,,,,,,,,,,,,,,,,,,
SWE,12.61,11.98,11.02,9.82,8.61,7.33,,,,,,,,,,,,,,,,,,,,,,,
ITA,9.66,9.33,8.45,7.87,7.23,6.51,,,,,,,,,,,,,,,,,,,,,,,
ESP,9.79,8.75,8.11,7.44,6.7,5.84,,,,,,,,,,,,,,,,,,,,,,,
FRA,10.78,9.83,8.62,7.45,6.33,5.57,,,,,,,,,,,,,,,,,,,,,,,
SGP,9.88,9.22,8.79,8.35,7.87,7.38,,,,,,,,,,,,,,,,,,,,,,,
KOR,6.4,5.85,5.47,4.92,4.41,4.01,,,,,,,,,,,,,,,,,,,,,,,
BRA,5.27,5.07,4.67,4.44,4.04,3.8,,,,,,,,,,,,,,,,,,,,,,,
RUS,3.11,3.06,3.18,2.95,2.87,2.61,,,,,,,,,,,,,,,,,,,,,,,
POL,3.24,3.11,2.59,2.24,1.94,1.85,,,,,,,,,,,,,,,,,,,,,,,
CHN,0.64,0.52,0.42,0.34,0.28,0.25,,,,,,,,,,,,,,,,,,,,,,,
IND,0.2,0.21,0.21,0.14,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,
NGA,0.08,0.07,0.06,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IHS / industry data / Ofcom
Note: Includes managed VoIP revenues. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average price of a fixed voice call minute: 2008 to 2013
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
JPN,13.5,12.1,11,10.3,9.9,9.8,,,,,,,,,,,,,,,,,,,,,,,
UK,6.6,6.9,7,7.4,7.8,8.6,,,,,,,,,,,,,,,,,,,,,,,
AUS,7.8,8.1,8,8,7.8,8.2,,,,,,,,,,,,,,,,,,,,,,,
NED,7.7,8,8.6,8.2,7.7,7.6,,,,,,,,,,,,,,,,,,,,,,,
ITA,6.2,6.5,6.4,6.8,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,
SWE,5.2,5.9,6.1,6.2,6.4,6.6,,,,,,,,,,,,,,,,,,,,,,,
ESP,7.9,7.5,7,6.6,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,
USA,5.4,5.6,6.4,6.6,6.4,6.1,,,,,,,,,,,,,,,,,,,,,,,
GER,5.6,4.9,4.8,4.8,4.7,4.4,,,,,,,,,,,,,,,,,,,,,,,
FRA,7.7,6.9,6,5.3,4.4,4.3,,,,,,,,,,,,,,,,,,,,,,,
SGP,8.9,8.9,8.7,8.4,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,,
NGA,7.6,8.2,9.1,8.4,8.5,8.3,,,,,,,,,,,,,,,,,,,,,,,
POL,7.1,8.1,7.4,7,6.8,7.4,,,,,,,,,,,,,,,,,,,,,,,
BRA,5.5,5.4,5.2,5,5.2,5.4,,,,,,,,,,,,,,,,,,,,,,,
KOR,4.9,4.7,4.6,4.2,3.9,3.7,,,,,,,,,,,,,,,,,,,,,,,
RUS,3,3.1,3.3,3.2,3.3,3.1,,,,,,,,,,,,,,,,,,,,,,,
IND,2,2.2,2.8,2.3,2.5,2.9,,,,,,,,,,,,,,,,,,,,,,,
CHN,3.2,3,2.9,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom Note: Includes managed VoIP calls; figures for USA and CHN include incoming calls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per capita monthly fixed voice call minutes: 2008 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
GER,202,198,197,187,177,172,,,,,,,,,,,,,,,,,,,,,,,
AUS,214,197,188,173,162,144,,,,,,,,,,,,,,,,,,,,,,,
UK,213,194,186,166,152,137,,,,,,,,,,,,,,,,,,,,,,,
FRA,140,142,144,142,143,131,,,,,,,,,,,,,,,,,,,,,,,
USA,221,193,166,147,136,124,,,,,,,,,,,,,,,,,,,,,,,
SWE,241,203,179,158,136,111,,,,,,,,,,,,,,,,,,,,,,,
NED,124,115,110,108,106,100,,,,,,,,,,,,,,,,,,,,,,,
ESP,124,116,116,113,108,94,,,,,,,,,,,,,,,,,,,,,,,
ITA,156,144,131,116,107,92,,,,,,,,,,,,,,,,,,,,,,,
JPN,87,91,94,94,91,87,,,,,,,,,,,,,,,,,,,,,,,
KOR,130,124,119,117,113,108,,,,,,,,,,,,,,,,,,,,,,,
SGP,111,104,101,99,91,85,,,,,,,,,,,,,,,,,,,,,,,
RUS,104,99,97,91,87,84,,,,,,,,,,,,,,,,,,,,,,,
BRA,95,93,91,89,78,70,,,,,,,,,,,,,,,,,,,,,,,
POL,46,38,35,32,28,25,,,,,,,,,,,,,,,,,,,,,,,
CHN,20,17,14,12,10,9,,,,,,,,,,,,,,,,,,,,,,,
IND,10,9,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,
NGA,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom Note: Includes managed VoIP calls; figures for USA and CHN include incoming calls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household take-up and personal use of fixed telephony services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Landline at home,78,72,83,71,50,68,69,82,40,,,,,,,,,,,,,,,,,,,,
Regularly use a landline,60,66,81,62,47,41,52,75,27,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014
Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. 
Q3b.  Which of the following SERVICES do you have in your home? Q9a. Which, if any, of the following internet activities do you use each of your devices for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed telephony lines per 100 population: 2008 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,
UK,55.31,53.82,53.23,52.54,52.14,51.98,,,,,,,,,,,,,,,,,,,,,,,
FRA,41.13,37.47,33.45,29.69,26.61,23.75,,,,,,,,,,,,,,,,,,,,,,,
GER,42.09,39.56,37.19,34.59,32.08,28.94,,,,,,,,,,,,,,,,,,,,,,,
ITA,35.13,35.26,35.18,33.91,32.89,31.49,,,,,,,,,,,,,,,,,,,,,,,
USA,46.24,41.27,38.02,34.15,30.56,26.75,,,,,,,,,,,,,,,,,,,,,,,
JPN,37.99,34.94,31.92,29.17,26.6,24.44,,,,,,,,,,,,,,,,,,,,,,,
AUS,48.13,46.45,44.77,43.55,42.53,41.24,,,,,,,,,,,,,,,,,,,,,,,
ESP,42.57,40.99,40.01,38.77,37.04,35.03,,,,,,,,,,,,,,,,,,,,,,,
NED,26.74,23.51,20.64,17.73,14.87,12.18,,,,,,,,,,,,,,,,,,,,,,,
SWE,48.42,43.36,38.09,33.52,28.72,24.61,,,,,,,,,,,,,,,,,,,,,,,
POL,23.83,20.95,20,18.45,16.44,14.71,,,,,,,,,,,,,,,,,,,,,,,
SGP,35.14,34.45,35.04,34.33,31.55,28.77,,,,,,,,,,,,,,,,,,,,,,,
KOR,46.49,41.71,39.78,38.71,37.67,36.09,,,,,,,,,,,,,,,,,,,,,,,
BRA,20.46,20.04,19.89,19.75,19.59,19.1,,,,,,,,,,,,,,,,,,,,,,,
RUS,32.16,32.06,31.77,30.39,29.49,28.26,,,,,,,,,,,,,,,,,,,,,,,
IND,3.23,3.11,2.91,2.68,2.49,2.31,,,,,,,,,,,,,,,,,,,,,,,
CHN,25.66,23.51,21.95,21.16,20.54,19.62,,,,,,,,,,,,,,,,,,,,,,,
NGA,0.86,0.91,0.66,0.44,0.25,0.21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed broadband availability: 2008 and 2013
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (per cent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,60,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,74,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,62,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
